border,arm,draw,gas_sigma,co2_sigma,mean_spread,separated_pct,hours
DE_LU-CH,ntc,14,0.538449,-0.060128,4.836332,21.875000,288
FR-BE,ntc,14,0.538449,-0.060128,-10.649571,38.541667,288
FR-CH,ntc,14,0.538449,-0.060128,-12.566703,32.986111,288
NL-BE,ntc,14,0.538449,-0.060128,2.779710,21.875000,288
AT-CH,ntc,14,0.538449,-0.060128,1.433884,19.097222,288
AT-CZ,ntc,14,0.538449,-0.060128,-5.362256,33.680556,288
CZ-PL,ntc,14,0.538449,-0.060128,-6.017245,40.625000,288
DE_LU-FR,ntc,15,-0.668212,-0.770415,14.480045,62.847222,288
DE_LU-PL,ntc,15,-0.668212,-0.770415,-9.918690,60.416667,288
DE_LU-CZ,ntc,15,-0.668212,-0.770415,-3.628832,33.333333,288
DE_LU-NL,ntc,15,-0.668212,-0.770415,4.184820,21.527778,288
DE_LU-BE,ntc,15,-0.668212,-0.770415,6.545160,33.333333,288
DE_LU-AT,ntc,15,-0.668212,-0.770415,3.768692,15.277778,288
DE_LU-CH,ntc,15,-0.668212,-0.770415,4.285624,24.652778,288
FR-BE,ntc,15,-0.668212,-0.770415,-7.934885,44.791667,288
FR-CH,ntc,15,-0.668212,-0.770415,-10.194421,40.277778,288
NL-BE,ntc,15,-0.668212,-0.770415,2.360340,25.000000,288
AT-CH,ntc,15,-0.668212,-0.770415,0.516932,21.527778,288
AT-CZ,ntc,15,-0.668212,-0.770415,-7.397524,43.402778,288
CZ-PL,ntc,15,-0.668212,-0.770415,-6.289858,51.041667,288
DE_LU-FR,ntc,16,1.197022,-0.727034,17.113506,50.000000,288
DE_LU-PL,ntc,16,1.197022,-0.727034,-6.881922,43.750000,288
DE_LU-CZ,ntc,16,1.197022,-0.727034,-0.631395,26.041667,288
DE_LU-NL,ntc,16,1.197022,-0.727034,3.511022,17.708333,288
DE_LU-BE,ntc,16,1.197022,-0.727034,5.950371,27.083333,288
DE_LU-AT,ntc,16,1.197022,-0.727034,3.207049,11.458333,288
DE_LU-CH,ntc,16,1.197022,-0.727034,4.796058,21.180556,288
FR-BE,ntc,16,1.197022,-0.727034,-11.163135,37.500000,288
FR-CH,ntc,16,1.197022,-0.727034,-12.317448,30.555556,288
NL-BE,ntc,16,1.197022,-0.727034,2.439349,19.444444,288
AT-CH,ntc,16,1.197022,-0.727034,1.589009,19.097222,288
AT-CZ,ntc,16,1.197022,-0.727034,-3.838444,29.166667,288
CZ-PL,ntc,16,1.197022,-0.727034,-6.250527,40.625000,288
DE_LU-FR,ntc,17,0.238674,0.350753,17.718528,57.291667,288
DE_LU-PL,ntc,17,0.238674,0.350753,-9.003326,47.916667,288
DE_LU-CZ,ntc,17,0.238674,0.350753,-2.869018,30.555556,288
