draw,arm,gas_sigma,co2_sigma,gas_shift,co2_shift,mean_spread,separated_pct
53,cnec,-0.201312,0.690235,-1.840634,5.205964,31.967725,86.805556
54,cnec,-0.206654,-0.474738,-1.889468,-3.580618,28.206069,87.847222
55,cnec,0.656936,-1.405683,6.006480,-10.602086,28.164571,88.888889
56,cnec,0.102862,-1.652424,0.940488,-12.463082,25.732160,88.888889
57,cnec,-0.935771,-0.427069,-8.555911,-3.221082,26.953668,87.500000
58,cnec,-0.684515,-0.987008,-6.258637,-7.444313,25.577743,86.805556
59,cnec,-0.549305,0.367226,-5.022391,2.769728,30.219106,87.152778
60,cnec,-0.619270,0.740180,-5.662090,5.582660,31.455140,87.847222
61,cnec,-0.379534,1.170664,-3.470139,8.829499,33.248477,87.847222
62,cnec,1.765113,-0.386586,16.138721,-2.915748,34.326434,88.194444
63,cnec,0.221338,0.147888,2.023726,1.115415,31.163115,87.500000
64,cnec,-1.176453,-1.301087,-10.756506,-9.813196,23.819553,87.152778
65,cnec,-1.073413,-0.395793,-9.814397,-2.985188,26.903397,87.847222
66,cnec,0.710821,-0.130352,6.499158,-0.983156,31.994856,88.888889
67,cnec,0.158731,-0.540829,1.451304,-4.079095,28.912975,88.194444
68,cnec,1.743400,-0.645626,15.940200,-4.869505,33.570802,87.847222
69,cnec,-0.869565,-2.062660,-7.950578,-15.557210,22.023446,86.805556
70,cnec,-0.411622,1.072182,-3.763531,8.086718,32.861342,87.500000
71,cnec,0.845476,-0.161735,7.730328,-1.219856,32.246564,88.888889
72,cnec,0.886412,-0.474531,8.104611,-3.579058,31.472501,88.888889
73,cnec,0.831909,0.472075,7.606287,3.560532,34.130578,88.888889
74,cnec,-0.505272,0.400716,-4.619783,3.022323,30.391367,87.152778
75,cnec,0.268495,-1.395969,2.454898,-10.528821,27.016902,88.888889
76,cnec,0.518162,0.850921,4.737641,6.417904,34.113329,87.847222
77,cnec,0.622872,-1.814944,5.695023,-13.688861,26.937679,88.888889
78,cnec,0.700726,0.009768,6.406853,0.073670,32.390563,88.888889
79,cnec,-1.779104,-0.870308,-16.266642,-6.564128,24.382231,88.541667
80,cnec,0.069709,2.186651,0.637364,16.492381,37.537470,87.500000
81,cnec,-0.981155,0.356665,-8.970861,2.690074,29.604605,88.194444
82,cnec,0.389930,-0.122366,3.565198,-0.922919,30.936116,88.541667
83,cnec,1.903815,1.436139,17.406898,10.831798,39.793137,88.194444
84,cnec,0.428374,1.298665,3.916696,9.794927,35.322779,87.500000
85,cnec,1.091892,0.361890,9.983349,2.729483,34.528355,88.888889
86,cnec,-0.424523,0.053825,-3.881489,0.405962,29.408526,86.805556
87,cnec,-0.067693,-0.294762,-0.618926,-2.223188,29.061968,87.500000
88,cnec,1.620783,1.583100,14.819090,11.940218,39.377536,88.541667
89,cnec,0.596966,-0.709376,5.458159,-5.350330,29.941075,88.888889
90,cnec,1.373417,0.551147,12.557380,4.156914,35.725531,88.541667
91,cnec,-0.910425,-0.374050,-8.324168,-2.821196,27.159615,87.500000
92,cnec,0.936719,2.106122,8.564582,15.885014,39.203375,88.541667
93,cnec,-0.782356,1.335692,-7.153213,10.074195,33.215311,88.541667
94,cnec,-0.591623,-1.183315,-5.409305,-8.924919,25.145028,87.847222
95,cnec,0.306574,1.162675,2.803057,8.769244,34.632015,87.847222
96,cnec,-1.239496,-0.089781,-11.332923,-0.677152,27.736799,88.194444
97,cnec,-0.335739,-0.643146,-3.069714,-4.850803,27.397138,88.541667
98,cnec,1.504212,-0.591016,13.753261,-4.457620,32.950130,88.194444
99,cnec,-1.291436,0.473556,-11.807814,3.571701,29.546675,88.541667
100,cnec,2.407292,-0.358616,22.010276,-2.704793,36.565005,88.194444
